company_name,world_rank_2022,world_rank_2021,world_rank_2020,company_business,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,matched_to,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,currency,status,use_cases,slugs_matched,related_companies,total_articles,profile_tier
IBM,123.0,120.0,90.0,"['Technology', 'Software and IT', 'Software Products', 'Computers Hardware', 'Laptops']",73.0,61.0,52.0,288300.0,1911.0,,International Business Machines Corporation,131.201,135.245,113.005,105.222,9.431,5.59,5.742,1.639,10.63,6.28,6.41,,77.147,73.62,57.351,60.53,74.943,74.952,63.818,68.133,-26.936,-3.028,-5.975,-4.202,152.186,155.971,132.001,127.243,20.985,20.726,18.996,22.021,USD,True,,"['ibm-corporation', 'ibm-research-mmwave-technology', 'ibm-research', 'startup-with-ibm', 'ibm-blockchain-accelerator']","['IBM Corporation', 'IBM Research - mmWave Technology', 'IBM Research', 'Startup with IBM', 'IBM Blockchain Accelerator']",22.0,3.0
LOCKHEED MARTIN CORPORATION,158.0,157.0,98.0,"['Industries', 'Aerospace Products', 'Defense Products', 'Aerospace and Defense', 'Missiles']",94.0,74.0,54.0,114000.0,1995.0,,Lockheed Martin Corporation,44.357,44.672,39.914,43.614,6.23,6.833,6.315,5.732,22.09,24.4,22.76,,59.812,65.398,67.044,65.984,14.531,17.684,22.629,24.695,-1.241,-2.01,-1.161,-1.789,47.528,50.71,50.873,52.88,3.171,6.038,10.959,9.266,USD,True,,['lockheed-martin-ventures'],['Lockheed Martin Ventures'],0.0,0.0
DEERE & COMPANY,125.0,134.0,240.0,"['Industries', 'Agriculture Machinery', 'Construction Equipment', 'Commercial Vehicles', 'Engineering Products']",74.0,92.0,128.0,82200.0,1837.0,,Deere & Company,61.58,62.147,65.68,69.673,3.253,2.751,5.963,7.131,10.28,8.77,19.14,23.42,39.258,35.54,44.024,52.577,41.642,45.671,51.319,53.858,-3.924,-3.319,-5.75,-8.485,73.011,75.091,84.114,90.03,11.431,12.944,18.434,20.357,USD,True,,['deere-and-company'],['Deere & Company'],0.0,3.0
AT&T,67.0,60.0,22.0,"['Telecom', 'Communication Services', 'Internet Providers', 'Mobile Services', 'Fixed Line Service']",46.0,27.0,15.0,160700.0,1983.0,,AT&T Inc.,350.017,346.521,367.767,296.396,13.903,-5.176,20.081,-8.524,1.9,-0.75,2.77,-1.13,181.193,171.76,168.864,120.741,335.93,315.448,319.152,225.923,-16.69,-13.548,-32.089,-25.805,551.951,525.761,551.622,402.853,201.934,179.24,183.855,106.457,USD,,,,,,
UNION PACIFIC CORPORATION,78.0,99.0,86.0,"['Industries', 'Freight Transport', 'Transportation', 'Railway', 'Railway Vehicles and Railway Components']",52.0,50.0,50.0,33179.0,1862.0,,Union Pacific Corporation,43.545,45.44,49.364,53.286,5.919,5.349,6.523,6.998,8.41,7.9,9.98,11.24,21.708,19.533,21.804,24.875,42.071,42.618,41.724,43.811,-3.435,-2.676,-2.709,-3.471,61.673,62.398,63.525,65.449,18.128,16.958,14.161,12.163,USD,,,,,,
SALESFORCE.COM,53.0,35.0,62.0,"['Technology', 'Cloud Services', 'Artificial Intelligence', 'Software Products', 'Software and IT']",37.0,30.0,37.0,79390.0,1999.0,2004.0,Leverage Shrs 2x Salesforce.com ETP Scs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,['Cloud Data Services'],"['salesforce-ventures', 'salesforce-blockchain']","['Salesforce Ventures', 'Salesforce Blockchain']",39.0,3.0
NETFLIX,44.0,37.0,65.0,"['Communication Services', 'Electronics', 'Internet or Mobile App Based Business', 'Media', 'Advertising']",30.0,23.0,39.0,12800.0,1997.0,2002.0,"Netflix, Inc.",26.394,28.215,28.735,27.817,1.867,2.761,5.116,4.492,4.26,6.26,11.55,,20.156,24.996,29.698,31.616,22.341,26.874,30.542,35.13,-0.387,-0.505,-1.34,-2.076,33.976,39.28,44.585,48.595,7.582,11.065,15.849,20.777,USD,,,,,,
AMGEN,113.0,115.0,66.0,"['Healthcare', 'Pharmaceutical', 'Biopharmaceutical', 'Biotechnology', 'HealthCare Products']",67.0,52.0,40.0,25200.0,1980.0,1983.0,Amgen Inc.,50.034,53.539,54.465,61.46,7.842,7.264,5.893,6.552,12.96,12.4,10.34,,23.362,25.424,25.979,26.323,36.623,42.304,39.922,41.015,5.709,-5.401,0.733,-6.044,59.707,62.948,61.165,65.121,9.673,9.409,6.7,3.661,USD,False,,['amgen'],['Amgen'],0.0,3.0
BOEING COMPANY,115.0,114.0,44.0,"['Industries', 'Aeroplane', 'Defense Products', 'Rockets', 'Missiles']",69.0,59.0,29.0,156000.0,1916.0,,The Boeing Company,141.925,170.211,153.398,152.948,-0.636,-11.941,-4.29,-5.053,-1.12,-20.88,-7.15,-8.3,76.559,58.158,62.286,66.608,11.345,43.574,41.807,35.928,-1.53,-18.366,9.324,4.37,133.625,152.136,138.552,137.1,-8.3,-18.075,-14.846,-15.848,USD,True,"['Security', 'Marketplace']",['boeing'],['Boeing'],9.0,2.0
INTUIT,82.0,86.0,177.0,"['Technology', 'Software and IT', 'Software Products']",53.0,69.0,97.0,17300.0,1983.0,1993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,['intuit-ventures'],['Intuit Ventures'],0.0,0.0
S&P GLOBAL,137.0,145.0,185.0,"['Financial Services', 'Investments', 'Trading', 'Stock Markets, Trading, Capital Markets']",81.0,99.0,102.0,39950.0,1917.0,,S&P Global Inc.,8.544,9.185,9.49,22.04,2.123,2.339,3.024,3.248,8.65,9.71,12.56,10.25,6.699,7.442,8.297,11.181,4.484,4.681,6.221,47.207,-0.131,-0.24,-0.12,3.628,11.348,12.537,15.026,61.784,2.804,3.352,5.536,39.744,USD,True,,['s-and-p-global'],['S&P Global'],22.0,3.0
YOUTUBE,113.0,113.0,113.0,"['Social Media', 'Internet or Mobile App Based Business', 'Technology', 'Artificial Intelligence']",66.0,63.0,63.0,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN EXPRESS COMPANY,105.0,108.0,108.0,"['Financial Services', 'Banking Services', 'Credit Cards', 'Technology', 'Digital Payment Solution Services']",62.0,77.0,58.0,77300.0,1850.0,,American Express Company,175.0,168.0,167.0,203.0,6.759,3.135,8.06,7.514,8.0,3.77,10.04,9.86,43.556,36.087,42.38,52.862,81.0,66.0,61.0,68.0,-16.707,11.632,-10.529,-33.689,198.0,191.0,189.0,228.0,23.0,23.0,22.0,25.0,USD,True,,"['american-bankers-association', 'american-bankers-association-aba']","['American Bankers Association', 'American Bankers Association (ABA)']",1.0,0.0
LOWE'S COMPANIES,76.0,98.0,124.0,"['Consumer Cyclical', 'Retail', 'Home Furnishing', 'Home & Furniture', 'Consumer Services']",50.0,60.0,70.0,300000.0,1921.0,,"Lowe's Companies, Inc.",,37.499,45.298,49.456,,4.281,5.835,8.442,,5.49,7.77,12.07,,72.148,89.597,96.25,,18.74,22.105,19.043,,-1.369,-1.894,-1.646,,39.471,46.735,44.64,,1.972,1.437,-4.816,USD,,,,,,
STARBUCKS CORPORATION,117.0,102.0,103.0,"['Consumer Cyclical', 'Restaurants', 'Retail', 'Non-Alcoholic Beverages', 'Coffee']",70.0,56.0,56.0,402000.0,1971.0,1992.0,Starbucks Corporation,25.451,37.174,36.707,36.677,3.599,0.928,4.199,3.282,3.038325,0.791187,3.5700000000000003,2.860031,26.509,23.518,29.061,32.25,4.935,6.854,8.296,4.413,-1.011,-1.712,-0.32,-2.146,19.22,29.374,31.393,27.978,-6.231,-7.799,-5.314,-8.699,USD,False,,['starbucks'],['Starbucks'],45.0,3.0
THE GOLDMAN SACHS GROUP,109.0,100.0,113.0,"['Financial Services', 'Banking Services', 'Asset Management', 'Investments', 'Brokerage Services']",64.0,86.0,64.0,48500.0,1869.0,1999.0,"The Goldman Sachs Group, Inc.",903.0,1067.0,1353.0,1325.0,8.466,9.459,21.635,11.261,21.18,24.94,60.25,,33.294,40.419,59.339,47.365,297.0,309.0,364.0,364.0,-24.236,-34.356,-30.465,-75.96,993.0,1163.0,1463.0,1442.0,90.0,96.0,110.0,117.0,USD,True,,['goldman-sachs'],['Goldman Sachs'],239.0,0.0
ELEVANCE HEALTH INC.,,,,"['Healthcare', 'Insurance']",,,,102300.0,,,"Elevance Health, Inc.",45.725,53.416,61.179,66.378,4.807,4.572,6.104,6.025,18.81,18.23,25.04,25.1,104.213,121.867,138.639,156.595,49.515,52.534,57.217,58.656,-2.792,-7.324,-9.638,-4.56,77.453,86.615,97.307,102.772,31.728,33.199,36.128,36.394,USD,,,,,,
PFIZER,27.0,36.0,37.0,"['Healthcare', 'Pharmaceutical', 'HealthCare Products', 'Biotechnology', 'Technology']",18.0,29.0,25.0,83000.0,1849.0,,Pfizer Inc.,104.042,90.756,104.014,101.289,16.273,9.616,21.979,31.372,2.88,1.65,3.92,,51.75,41.908,81.288,100.33,99.098,98.809,111.958,127.586,-3.945,-4.271,-22.546,-15.783,167.489,154.229,181.476,197.205,63.447,63.473,77.462,95.916,USD,False,,['pfizer'],['Pfizer'],4.0,3.0
CVS HEALTH CORPORATION,99.0,138.0,119.0,"['Healthcare', 'Pharmacy', 'Healthcare Service', 'Retail', 'HealthCare Products']",58.0,88.0,67.0,300000.0,1996.0,,CVS Health Corporation,158.279,161.014,157.618,156.96,6.634,7.179,7.91,4.149,5.1,5.48,6.0,3.16,256.776,268.706,292.111,322.467,128.563,128.596,127.046,121.491,-3.339,-5.534,-5.261,-5.047,222.449,230.715,232.999,228.275,64.17,69.701,75.381,71.315,USD,True,,['cvs-health'],['CVS Health'],5.0,0.0
META PLATFORMS,7.0,6.0,6.0,"['Communication Services', 'Internet or Mobile App Based Business', 'Social Media', 'Artificial Intelligence', 'Internet of Things']",6.0,5.0,5.0,77805.0,2004.0,2012.0,"Meta Platforms, Inc.",32.322,31.026,41.108,60.014,18.485,29.146,39.37,23.2,6.48,10.22,13.99,8.63,70.697,85.965,117.929,116.609,101.054,128.29,124.879,135.636,-19.864,-30.059,-7.57,-28.97,133.376,159.316,165.987,185.727,101.054,128.29,124.879,125.713,USD,True,"['Social Media', 'Social Networks', 'Virtual Reality']",['meta'],['Meta'],643.0,0.0
HOME DEPOT,17.0,24.0,28.0,"['Retail', 'eCommerce', 'Construction Materials', 'Consumer Services']",13.0,17.0,20.0,518100.0,1978.0,,"The Home Depot, Inc.",,54.352,67.282,73.572,,11.242,12.866,16.433,,10.29,11.98,15.59,,110.225,132.11,151.157,,25.554,39.121,34.908,,-2.653,-10.17,-2.969,,51.236,70.581,71.876,,-3.116,3.299,-1.696,USD,,,,,,
CHEVRON CORPORATION,41.0,66.0,33.0,"['Energy', 'Oil and Gas', 'Chemicals', 'Natural Gas Generation', 'Petrochemicals']",27.0,42.0,23.0,43846.0,1879.0,,Chevron Corporation,93.215,108.102,100.468,257.709,2.924,-5.543,15.625,35.465,1.55,-2.96,8.15,,139.865,94.471,155.606,235.717,144.213,131.688,139.067,159.282,-11.5,-7.0,-5.9,-12.1,237.428,239.79,239.535,257.709,144.213,131.688,139.067,160.242,USD,True,,['chevron'],['Chevron'],4.0,3.0
ELI LILLY AND COMPANY,39.0,40.0,82.0,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service']",25.0,43.0,48.0,39000.0,1876.0,,Eli Lilly and Company,36.587,40.808,39.651,38.714,8.318,6.194,5.582,6.245,8.93,6.82,6.15,6.93,22.32,24.54,28.318,28.541,16.425,22.228,24.326,25.387,-8.083,-2.259,-2.762,-3.262,39.286,46.633,48.806,49.49,2.699,5.825,9.155,10.775,USD,,,,,,
MASTERCARD,24.0,25.0,18.0,"['Digital Payment Solution Services', 'Financial Services', 'Credit Cards', 'Technology', 'Business Services']",17.0,12.0,13.0,29900.0,1966.0,2006.0,Mastercard Incorporated,23.245,27.067,30.257,32.347,8.118,6.411,8.687,9.93,7.98,6.4,8.79,10.26,16.883,15.301,18.884,22.237,14.42,18.414,20.421,20.047,-1.64,-1.879,-5.272,-1.47,29.236,33.584,37.669,38.724,5.991,6.517,7.412,6.377,USD,True,"['Payment Platform', 'Payment Service Provider']",['mastercard'],['MasterCard'],268.0,1.0
PROCTER & GAMBLE COMPANY,21.0,23.0,17.0,"['Consumer Defensive', 'FMCG', 'Consumer Non Durables', 'Beauty and Personal Care', 'Personal Care Products']",16.0,13.0,12.0,106000.0,1837.0,,The Procter & Gamble Company,67.516,73.822,72.653,70.354,3.897,13.027,14.306,14.742,1.45,5.13,5.69,6.0,67.684,70.95,76.118,80.187,67.384,70.415,69.753,69.702,-3.49,3.045,-2.834,-4.424,115.095,120.7,119.307,117.208,47.579,46.878,46.654,46.854,USD,,,,,,
NVIDIA CORPORATION,9.0,11.0,63.0,"['Technology', 'Semiconductors', 'Electronics', 'Technology Hardware and Instruments', 'Computers Hardware']",8.0,16.0,38.0,26196.0,1993.0,1999.0,NVIDIA Corporation,,5.111,11.898,17.575,,2.796,4.332,9.752,,1.1475,1.76,3.91,,10.918,16.675,26.914,,14.195,22.857,37.558,,6.145,-19.675,-9.83,,17.315,28.791,44.187,,12.204,16.893,26.612,USD,,,,,,
J P MORGAN CHASE & CO,12.0,13.0,10.0,"['Financial Services', 'Banking Services', 'Credit Cards', 'Asset Management']",9.0,11.0,7.0,293723.0,2000.0,,JPMorgan Chase & Co.,2426.049,3106.717,3449.44,3373.411,36.431,29.131,48.334,37.676,,,,,115.627,119.543,121.649,128.695,628.397,660.597,709.709,715.032,-54.013,-261.912,-129.344,-137.819,2687.379,3386.071,3743.567,3665.743,261.33,279.354,294.127,292.332,USD,True,"['Banking', 'Investment Banking']",['jpmorgan-chase-and-co'],['JPMorgan Chase & Co.'],380.0,1.0
WALMART,20.0,17.0,13.0,"['Retail', 'Super Markets', 'eCommerce', 'Hypermarkets', 'Consumer Services']",15.0,10.0,10.0,2300000.0,1962.0,,Walmart Inc.,,154.943,164.965,152.969,,14.881,13.51,13.673,,5.22,4.77,4.9,,523.964,559.151,572.754,,118.383,122.492,118.117,,-9.128,-10.071,-6.015,,236.495,252.496,244.86,,81.552,87.531,91.891,USD,True,"['Marketplace', 'Merchant Solutions']","['walmart', 'walmart-china', 'walmart-canada']","['Walmart', 'Walmart China', 'Walmart Canada']",56.0,1.0
HONEYWELL INTERNATIONAL,89.0,83.0,81.0,"['Industries', 'Software Products', 'Technology Hardware and Instruments', 'Aerospace Products', 'Building Automation']",56.0,48.0,47.0,97000.0,1906.0,,Honeywell International Inc.,39.966,46.789,45.221,44.949,6.143,4.779,5.542,4.966,8.52,6.79,8.01,,36.709,32.637,34.392,35.466,29.816,34.132,33.496,32.442,-0.533,-0.987,-1.061,-0.093,58.679,64.586,64.47,62.275,18.713,17.797,19.249,17.326,USD,False,,['honeywell'],['Honeywell'],10.0,3.0
CONOCOPHILLIPS COMPANY,140.0,221.0,167.0,"['Energy', 'Oil and Gas', 'Natural Gas Generation', 'Petroleum', 'Coal Mining']",84.0,175.0,94.0,9500.0,1875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,['conocophillips'],['ConocoPhillips'],1.0,3.0
MORGAN STANLEY,68.0,63.0,138.0,"['Financial Services', 'Banking Services', 'Trading', 'Brokerage Services', 'Wealth Management']",47.0,58.0,75.0,82427.0,1931.0,,Morgan Stanley,812.732,1012.713,1081.542,1079.0,9.042,10.996,15.034,11.029,5.26,6.55,8.16,6.23,38.926,45.269,56.414,50.21,279.204,320.579,338.272,341.222,-33.561,-37.898,-49.897,-11.632,895.429,1115.862,1188.14,1180.231,82.697,103.149,106.598,101.231,USD,False,,['morgan-stanley'],['Morgan Stanley'],108.0,3.0
RAYTHEON TECHNOLOGIES CORPORATION,104.0,116.0,78.0,"['Industries', 'Aerospace and Defense', 'Aerospace Products', 'Aircraft Parts', 'Defense Products']",61.0,65.0,45.0,182000.0,1934.0,,Raytheon Technologies Corporation,95.39,88.269,86.705,84.65,5.537,-3.519,3.864,5.197,6.48,-2.59,2.5700000000000003,3.52,77.046,56.587,64.388,67.074,79.562,103.189,104.395,103.326,-3.092,3.102,-1.364,-2.829,139.716,162.153,161.404,158.864,44.326,73.884,74.699,74.214,USD,,,,,,
TEXAS INSTRUMENTS,77.0,73.0,88.0,"['Technology', 'Semiconductors', 'Electronics', 'Processors / Chips', 'Sensors']",51.0,47.0,51.0,33000.0,1951.0,,Texas Instruments Incorporated,9.111,10.164,11.343,12.63,5.017,5.595,7.769,8.749,5.360043,6.074919,8.38,,14.383,14.461,18.344,20.028,14.21,15.435,20.574,22.812,-1.92,-0.922,-4.095,-3.583,18.018,19.351,24.676,27.207,8.907,9.187,13.333,14.577,USD,,,,,,
COMCAST CORPORATION,51.0,32.0,39.0,"['Communication Services', 'Television Services', 'Broadcasting', 'Telecom', 'Internet Providers']",35.0,22.0,26.0,186000.0,1963.0,,Comcast Corporation,178.168,180.851,177.896,175.237,13.057,10.534,14.159,5.37,2.867758,2.299671,3.12338,,108.942,103.564,116.385,121.427,180.491,190.937,188.81,174.011,-14.841,-12.047,-13.446,-14.14,263.414,273.869,275.905,257.275,85.246,93.018,98.009,82.038,USD,True,,"['comcast', 'comcast-ventures', 'comcast-nbcuniversal-lift-labs-accelerator']","['Comcast', 'Comcast Ventures', 'Comcast NBCUniversal LIFT Labs Accelerator']",0.0,3.0
THE CHARLES SCHWAB CORPORATION,72.0,103.0,201.0,"['Financial Services', 'Banking Services', 'Brokerage Services', 'Asset Management', 'Investments']",48.0,72.0,110.0,35300.0,1971.0,,The Charles Schwab Corporation,272.3,492.949,611.009,515.164,3.704,3.299,5.855,7.183,2.69,2.13,2.84,3.52,10.721,11.691,18.52,20.762,29.175,69.692,75.081,57.368,11.964,-125.851,-75.663,32.048,294.0,549.009,667.27,551.772,21.7,56.06,56.261,36.608,USD,False,,['charles-schwab'],['Charles Schwab'],32.0,3.0
BRISTOL-MYERS SQUIBB COMPANY,96.0,89.0,58.0,"['Healthcare', 'Pharmaceutical', 'Biopharmaceutical', 'Biotechnology', 'HealthCare Products']",57.0,51.0,36.0,34300.0,1887.0,,Bristol-Myers Squibb Company,78.246,80.599,73.308,65.702,3.439,-9.015,6.994,6.327,2.02,-3.99,3.24849,,26.145,42.518,46.385,46.159,94.985,86.158,75.551,66.117,-9.77,-10.859,-0.538,-1.062,129.944,118.481,109.314,96.82,51.698,37.882,36.006,31.118,USD,,,,,,
UNITED PARCEL SERVICE (UPS),66.0,76.0,115.0,"['Industries', 'Courier', 'Logistics', 'Transportation', 'Freight Transport']",45.0,49.0,65.0,536000.0,1907.0,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,['united-parcel-service'],['United Parcel Service'],0.0,3.0
ADOBE,40.0,29.0,52.0,"['Technology', 'Software and IT', 'Software Products', 'Software and IT Infrastructure', 'Artificial Intelligence']",26.0,21.0,32.0,29239.0,1982.0,1986.0,Adobe Inc.,10.232,11.02,12.444,13.114,2.951,5.26,4.822,4.756,6.07,10.94,10.1,10.13,11.171,12.868,15.785,17.606,11.519,17.381,18.92,17.68,-0.455,-0.414,-3.519,-0.57,20.762,24.284,27.241,27.165,10.53,13.264,14.797,14.051,USD,True,['Software'],['adobe'],['Adobe'],10.0,3.0
PHILIP MORRIS INTERNATIONAL,87.0,82.0,71.0,"['Consumer Defensive', 'Tobacco Products', 'Cigarettes', 'Agriculture Products', 'FMCG']",55.0,54.0,41.0,79800.0,1847.0,,Philip Morris International Inc.,52.474,55.446,49.498,67.992,7.185,8.056,9.109,9.048,4.61,5.16,5.83,5.82,29.805,28.694,31.405,31.762,15.079,15.601,14.677,25.918,-1.811,-1.154,-2.358,-15.679,42.875,44.815,41.29,61.681,-9.599,-10.631,-8.208,-6.311,USD,,,,,,
WELLS FARGO & COMPANY,56.0,65.0,34.0,"['Financial Services', 'Banking Services', 'Insurance', 'Credit Cards', 'Asset Management']",39.0,57.0,24.0,238000.0,1852.0,,Wells Fargo & Company,1739.571,1769.243,1757.958,1699.141,19.549,3.301,21.548,13.182,4.12,0.43,4.99,,85.063,72.34,78.492,73.785,415.337,397.837,348.295,354.759,-29.631,122.554,-7.619,-42.476,1927.555,1955.163,1948.068,1881.016,187.984,185.92,190.11,181.875,USD,True,"['Derivatives', 'Marketplace', 'Stablecoins', 'Clearing & Settlements']","['wells-fargo-startup-accelerator', 'wells-fargo-blockchain', 'wells-fargo-and-company']","['Wells Fargo Startup Accelerator', 'Wells Fargo Blockchain', 'Wells Fargo & Company']",88.0,3.0
NEXTERA ENERGY,75.0,79.0,91.0,"['Utilities', 'Electricity Generation', 'Electric Utilities', 'Utilities', 'Renewable Energy']",49.0,46.0,53.0,14900.0,1984.0,,"NextEra Energy, Inc.",76.331,82.755,95.488,109.499,3.769,2.919,3.573,4.147,1.926892,1.489286,1.82,2.087066,19.204,17.997,17.069,20.956,74.548,78.457,88.162,94.485,-16.177,-13.699,-13.591,-18.359,117.691,127.684,140.912,158.935,41.36,44.929,45.424,49.436,USD,,,,,,
THE WALT DISNEY COMPANY,30.0,28.0,25.0,"['Communication Services', 'Broadcasting', 'Television Services', 'Media', 'Advertising']",20.0,15.0,17.0,220000.0,1923.0,,The Walt Disney Company,91.132,104.037,101.385,95.253,11.054,-2.864,1.995,3.145,6.68,-1.58,1.1,1.73,69.57,65.388,67.418,82.722,127.006,136.5,137.093,140.307,-4.118,-3.637,-3.163,-5.008,193.984,201.549,203.609,203.631,102.852,97.512,102.224,108.378,USD,True,,['the-walt-disney-company'],['The Walt Disney Company'],34.0,3.0
VERIZON COMMUNICATIONS,52.0,47.0,27.0,"['Communication Services', 'Telecom', 'Fixed Line Service', 'Mobile Services', 'Internet Providers']",36.0,20.0,19.0,117100.0,1983.0,,Verizon Communications Inc.,228.892,247.209,283.396,287.217,19.265,17.801,22.065,21.256,4.66,4.3,5.32,5.06,131.868,128.292,133.613,136.835,162.107,191.015,225.215,231.82,-17.581,-23.512,-67.153,-28.662,291.727,316.481,366.596,379.68,62.835,69.272,83.2,92.463,USD,False,,"['verizon', 'verizon-ventures']","['Verizon', 'Verizon Ventures']",7.0,2.0
T-MOBILE US,101.0,74.0,182.0,"['Communication Services', 'Telecom', 'Mobile Services', 'Internet Providers', 'Utilities']",59.0,40.0,100.0,71000.0,1994.0,,"T-Mobile US, Inc.",58.132,134.818,137.461,141.682,3.468,3.064,3.024,2.59,4.06,2.68,2.42,2.07,44.998,68.397,80.118,79.571,39.747,131.89,137.672,136.452,-4.125,-12.715,-19.386,-12.359,86.921,200.162,206.563,211.338,28.789,65.344,69.102,69.656,USD,True,,"['t-mobile', 't-mobile-accelerator']","['T-Mobile', 'T-Mobile Accelerator']",11.0,3.0
NIKE,38.0,34.0,54.0,"['Consumer Cyclical', 'Shoes', 'Footwear', 'Sports Goods', 'Consumer Non Durables']",24.0,25.0,33.0,79100.0,1964.0,,"NIKE, Inc.",14.677,23.287,24.973,25.04,4.029,2.539,5.727,6.046,2.55,1.63,3.64,3.83,39.117,37.403,44.538,46.71,12.504,17.461,22.18,24.201,-0.264,-1.028,-3.8,-1.524,23.717,31.342,37.74,40.321,9.04,8.055,12.767,15.281,USD,False,,['nike-fuel-lab'],['Nike+ Fuel Lab'],46.0,1.0
ABBOTT LABORATORIES,43.0,48.0,57.0,"['Healthcare', 'Pharmaceutical', 'Biotechnology', 'HealthCare Products', 'Healthcare Service']",29.0,32.0,35.0,115000.0,1888.0,,Abbott Laboratories,36.586,39.545,39.172,37.533,3.687,4.495,7.071,6.933,2.091911,2.537784,4.008317,,31.904,34.608,43.075,43.653,47.749,51.311,53.098,51.208,-1.815,-2.215,-2.008,-1.74,67.887,72.548,75.196,74.438,31.301,33.003,36.024,36.905,USD,,,,,,
DANAHER CORPORATION,58.0,44.0,102.0,"['Healthcare', 'Medical Equipment', 'HealthCare Products', 'Machinery Manufacturing', 'Capital Goods']",41.0,45.0,55.0,81000.0,1969.0,,Danaher Corporation,31.8,36.384,38.007,34.26,3.008,3.646,6.433,7.209,4.11,4.97,8.77,9.8,17.911,22.284,29.453,31.471,51.787,60.959,67.335,69.168,-1.238,-21.239,-12.987,-2.234,62.082,76.161,83.184,84.35,30.282,39.777,45.177,50.09,USD,,,,,,
CISCO SYSTEMS,33.0,39.0,40.0,"['Technology', 'Network Hardware and Software', 'Telecom Equipment', 'Internet of Things', 'Computers Hardware']",22.0,35.0,27.0,83300.0,1984.0,1990.0,"Cisco Systems, Inc.",64.222,56.933,56.222,54.229,11.621,11.214,10.591,11.812,2.63,2.65,2.51,2.83,51.904,49.301,49.818,51.557,48.046,49.498,50.293,48.189,14.837,3.5,-5.285,1.553,97.793,94.853,97.497,94.002,33.571,37.92,41.275,39.773,USD,True,,"['cisco', 'cisco-investments', 'cisco-launchpad']","['Cisco', 'Cisco Investments', 'Cisco Launchpad']",10.0,3.0
THERMO FISHER SCIENTIFIC,45.0,50.0,74.0,"['Healthcare', 'Medical Equipment', 'Pharmaceutical', 'Technology Hardware and Instruments', 'Electronics']",31.0,36.0,42.0,130000.0,2006.0,,Thermo Fisher Scientific Inc.,28.514,34.545,94.669,53.142,3.696,6.375,7.725,6.95,9.24,16.09,19.62,,25.542,32.218,39.211,44.915,46.751,53.614,32.333,72.941,-1.487,-1.51,-21.932,-2.159,58.189,69.052,94.791,97.29,29.675,34.507,0.122,44.148,USD,,,,,,
MCDONALD'S CORPORATION,63.0,72.0,55.0,"['Consumer Cyclical', 'Restaurants', 'Food Products', 'Non-Alcoholic Beverages', 'Consumer Services']",44.0,44.0,34.0,200000.0,1940.0,,McDonald's Corporation,55.721,60.452,58.207,56.439,6.025,4.73,7.545,6.177,8.073697,6.35,10.11,8.447149,21.076,19.208,23.223,23.183,25.908,27.372,31.022,29.9,-3.071,-1.546,-2.166,-2.678,47.511,52.627,53.606,50.436,-8.21,-7.825,-4.601,-6.003,USD,True,,['mcdonald-s'],"[""McDonald's""]",21.0,3.0
ORACLE CORPORATION,49.0,38.0,48.0,"['Technology', 'Software and IT', 'Software Products', 'Cloud Services', 'Software and IT Infrastructure']",34.0,33.0,31.0,143000.0,1977.0,1986.0,Oracle Corporation,86.346,102.721,125.155,115.065,11.083,10.135,13.746,6.717,3.05,3.16,4.67,2.49,39.506,39.068,40.479,42.44,74.036,81.943,81.947,66.342,26.557,9.843,-13.098,11.22,108.709,115.438,131.107,109.297,22.363,12.717,5.952,-5.768,USD,True,"['Marketplace', 'Cloud Computing', 'Cloud Data Services']","['oracle', 'oracle-global-startup-ecosystem']","['Oracle', 'Oracle Global Startup Ecosystem']",17.0,3.0
COSTCO WHOLESALE CORPORATION,47.0,58.0,77.0,"['Consumer Defensive', 'Retail', 'eCommerce', 'Food Service', 'Hypermarkets']",33.0,41.0,44.0,304000.0,1983.0,,Costco Wholesale Corporation,29.816,36.851,41.19,43.519,3.659,4.002,5.007,5.844,8.32,9.05,11.3,13.17,152.703,166.761,195.929,226.954,20.367,25.798,24.256,27.126,-2.865,-3.891,-3.535,-3.915,45.4,55.556,59.268,64.166,15.584,18.705,18.078,20.647,USD,,,,,,
